B2,B3,B4,B5,B6,B7,B8,class
422.5,623.0,633.0,961.0,1807.5,2035.5,2116.0,10
387.5,488.5,499.5,875.5,1620.0,1852.0,1819.0,10
246.0,407.5,397.5,1014.5,1955.5,2286.5,2566.0,10
614.0,880.5,982.0,1289.0,2029.5,2280.5,2484.0,10
632.0,879.0,1051.0,1225.0,1803.5,2082.5,2406.5,10
524.0,758.0,837.0,1384.0,1831.0,2092.5,2165.0,10
452.0,659.0,784.5,1131.0,1567.0,1847.5,1929.0,10
204.0,321.0,236.0,696.0,2216.0,2631.0,2632.0,10
245.5,387.0,428.0,853.5,1448.0,1764.5,1748.0,10
278.0,305.0,288.0,442.0,755.0,970.0,826.0,10
629.5,941.5,1082.5,1454.0,2212.5,2569.0,2904.0,10
491.0,696.0,855.5,1192.5,2013.0,2316.5,2251.0,10
490.0,747.0,814.5,1063.5,1852.5,2209.0,2811.0,10
144.0,205.5,194.0,410.5,1133.0,1408.0,1016.0,10
408.0,600.0,805.0,1078.0,1477.5,1718.5,1895.0,10
558.5,800.0,1011.0,1208.5,1987.0,2323.0,2062.0,10
214.0,346.0,375.0,785.0,1435.0,1759.0,1710.0,10
443.0,680.0,838.0,1109.0,2013.0,2455.0,2944.0,10
287.0,422.0,468.0,700.0,1180.0,1349.0,1416.0,10
231.5,309.0,315.5,591.5,1145.0,1326.0,1420.0,10
773.0,1103.0,1234.0,1856.0,2391.5,2582.5,2331.0,10
799.0,1149.0,1458.0,1662.0,2415.0,2724.0,2907.0,10
160.0,212.5,232.5,549.5,1439.5,1833.5,1531.0,10
238.5,382.0,424.0,800.0,1346.0,1529.0,1603.0,10
257.5,495.5,452.5,1081.5,2548.5,3006.5,2503.5,10
552.0,868.5,999.0,1303.0,2349.0,2689.0,2706.0,10
474.0,688.0,834.5,986.0,1989.5,2436.5,3160.0,10
459.5,665.0,793.0,955.0,1777.5,2047.0,1989.5,10
340.0,545.0,471.5,996.5,1873.0,2145.0,2309.5,10
604.0,811.0,960.0,1294.0,1712.5,1853.5,1823.0,10
279.0,412.0,472.0,913.0,1406.0,1585.0,1500.0,10
209.0,316.0,309.0,620.0,1449.0,1812.0,1768.5,10
230.0,425.0,436.0,469.0,950.0,1260.0,1576.0,10
209.0,319.0,323.5,640.5,1351.5,1664.5,1815.0,10
198.5,324.0,313.5,724.5,1743.5,2106.0,1725.5,10
1083.0,1400.0,1699.0,1644.0,2077.0,2260.0,2192.5,10
440.5,707.5,911.5,1284.5,2055.0,2326.5,2061.5,10
386.5,538.0,600.0,918.5,1246.0,1387.0,1486.0,10
295.5,385.5,416.5,539.0,980.5,1186.0,1025.0,10
198.0,373.5,401.0,980.5,1751.5,2065.5,1686.0,10
251.0,448.0,465.0,770.0,1759.0,2192.0,2400.0,10
201.0,262.5,336.0,599.0,1570.0,1977.0,2140.0,10
412.0,691.5,647.5,1086.5,2379.0,2974.5,2824.0,10
325.0,491.5,584.5,991.0,1923.0,2244.5,2002.0,10
401.5,603.0,693.0,962.5,1627.5,1884.5,1906.0,10
1297.0,1684.0,1947.0,1873.5,2184.5,2315.5,2588.5,10
677.0,850.5,967.0,1234.0,2409.0,2806.5,2547.0,10
