B2,B3,B4,B5,B6,B7,B8,class
916.0,1155.0,1542.0,1760.5,1924.0,2011.0,1972.5,50
888.5,1338.0,1794.0,2265.0,2595.0,2713.5,2882.0,50
1513.0,1865.0,2171.0,2145.0,2299.5,2395.0,2458.5,50
1023.0,1369.0,1954.0,2157.5,2372.0,2396.0,2342.5,50
978.0,1218.0,1443.0,1832.0,2040.0,2130.0,1822.0,50
934.5,1227.0,1598.0,1876.5,2059.5,2173.0,2096.0,50
1391.0,1656.0,1997.0,1914.5,1991.0,2072.5,2164.0,50
878.5,1219.0,2117.0,2227.0,2630.5,2750.5,2923.0,50
910.0,1136.0,1481.0,1735.0,1932.5,2013.0,1854.0,50
752.5,1053.0,1218.0,1795.0,2174.0,2359.0,2354.0,50
1103.0,1387.0,1525.0,1764.0,2066.0,2222.5,2158.5,50
797.0,1200.0,1651.0,1696.0,2038.5,2218.5,2445.5,50
1190.0,1531.0,2176.0,2519.5,2711.5,2824.0,2978.0,50
1133.0,1473.0,1729.0,1987.0,2139.5,2252.0,2317.0,50
671.0,987.0,1258.0,1968.0,2217.0,2294.5,2148.0,50
811.0,1085.0,1659.0,2103.5,2138.0,2276.5,2023.5,50
969.0,1222.0,1455.0,1843.0,2001.0,2094.5,2245.0,50
851.0,957.0,1246.0,1825.0,1927.0,1948.0,1302.5,50
890.5,1351.0,1929.0,2268.0,2505.5,2671.0,2644.0,50
1953.0,2488.0,2816.0,2760.5,2843.0,2842.0,3210.0,50
1013.0,1337.0,1691.0,1693.5,1788.5,1863.0,2003.5,50
820.0,1030.0,1209.0,1415.5,1669.0,1770.5,1556.0,50
1462.0,2073.0,2557.0,3135.0,3244.0,3319.5,2967.0,50
945.0,1249.0,1820.0,1939.5,2247.0,2392.5,2398.0,50
581.0,848.0,1057.0,1491.0,1951.0,2220.0,1941.5,50
820.0,1187.0,1879.5,1775.0,1944.5,2070.0,2322.0,50
854.0,1035.0,1243.0,1347.0,1460.0,1525.5,1556.0,50
823.0,1237.0,1623.0,2115.0,2600.0,2806.0,2840.0,50
1073.0,1322.0,1363.0,1633.5,2012.0,2190.0,2192.5,50
1717.0,1941.0,2227.0,2178.5,2281.0,2310.5,2555.0,50
677.0,1011.0,1214.0,1582.5,1976.0,2166.0,2457.5,50
858.0,1132.0,1430.0,1772.5,1990.0,2132.0,1942.5,50
